date, pm25, pm10, o3, no2, so2, co
2025/11/1, 171, 72, 47, 19, 3, 6
2025/11/2, 146, 13, 29, 10, 3, 2
2025/11/3, 39, 24, 23, 19, 3, 2
2025/11/4, 49, 29, 27, 18, 3, 2
2025/11/5, 60, 35, 38, 21, 2, 3
2025/11/6, 66, 31, 22, 25, 2, 3
2025/11/7, 76, 31, 16, 16, 2, 4
2025/11/8, 88, 29, 31, 7, 2, 3
2025/11/9, 65, 33, 34, 8, 3, 4
2025/11/10, 81, 17, 29, 8, 3, 1
2025/11/11, 28, 30, 30, 10, 3, 3
2025/11/12, 46, , , , , 
2025/10/1, 102, 20, 50, 5, 2, 4
2025/10/2, 58, 35, 46, 10, 2, 6
2025/10/3, 82, 22, 38, 10, 2, 3
2025/10/4, 60, 22, 45, 9, 2, 2
2025/10/5, 60, 29, 58, 13, 2, 2
2025/10/6, 66, 42, 41, 8, 2, 5
2025/10/7, 93, 14, 33, 6, 2, 3
2025/10/8, 48, 17, 46, 10, 2, 2
2025/10/9, 38, 30, 45, 7, 2, 1
2025/10/10, 42, 36, 73, 12, 2, 3
2025/10/11, 61, 40, 77, 13, 2, 3
2025/10/12, 78, 53, 33, 14, 2, 7
2025/10/13, 120, 25, 21, 13, 2, 7
2025/10/14, 82, 25, 50, 14, 2, 4
2025/10/15, 64, 23, 33, 11, 2, 5
2025/10/16, 60, 19, 32, 13, 2, 3
2025/10/17, 37, 18, 28, 10, 2, 3
2025/10/18, 48, 23, 31, 7, 2, 2
2025/10/19, 42, 26, 30, 6, 2, 1
2025/10/20, 40, 25, 30, 6, 2, 1
2025/10/21, 32, 24, 34, 7, 2, 1
2025/10/22, 37, 27, 35, 9, 2, 1
2025/10/23, 46, 29, 39, 9, 3, 3
2025/10/24, 49, 31, 41, 9, 3, 2
2025/10/25, 60, 35, 32, 10, 3, 4
2025/10/26, 76, 36, 34, 9, 3, 4
2025/10/27, 98, 16, 38, 14, 3, 2
2025/10/28, 42, 18, 35, 18, 2, 1
2025/10/29, 33, 26, 20, 24, 2, 2
2025/10/30, 45, 24, 32, 17, 3, 3
2025/10/31, 54, 74, 48, 23, 3, 6
2025/7/1, 30, 29, 48, 5, 3, 1
2025/7/2, 36, 30, 57, 5, 3, 2
2025/7/3, 55, 34, 74, 5, 3, 2
2025/7/4, 55, 32, 65, 6, 3, 3
2025/7/5, 57, 19, 9, 9, 3, 4
2025/7/6, 34, 16, 26, 4, 3, 3
2025/7/7, 22, 25, 18, 2, 3, 2
2025/7/8, 20, 27, 23, 1, 3, 
2025/7/9, 27, 44, 18, 3, 4, 
2025/7/10, 80, 38, 18, 4, 3, 3
2025/7/11, 56, 26, 78, 3, 3, 3
2025/7/12, 46, 23, 38, 5, 3, 3
2025/7/13, 55, 51, 71, 7, 3, 4
2025/7/14, 92, 45, 89, 13, 3, 4
2025/7/15, 89, 50, 63, 7, 3, 4
2025/7/16, 94, 51, 61, 8, 3, 5
2025/7/17, 92, 31, 47, 5, 3, 4
2025/7/18, 69, 20, 20, 2, 3, 2
2025/7/19, 30, 34, 14, 1, 3, 1
2025/7/20, 34, 33, 15, 1, 3, 1
2025/7/21, 30, 30, 16, 1, 3, 1
2025/7/22, 31, 18, 15, 2, 3, 1
2025/7/23, 31, 20, 16, 2, 3, 1
2025/7/24, 47, 23, 18, 2, 3, 1
2025/7/25, 48, 18, 13, 2, 3, 1
2025/7/26, 30, 16, 17, 2, 3, 1
2025/7/27, 34, 20, 12, 2, 3, 1
2025/7/28, 36, 20, 14, 2, 3, 1
2025/7/29, 39, 11, 19, 1, 3, 2
2025/7/30, 19, 25, 36, 4, 3, 2
2025/7/31, 56, 33, 55, 3, 3, 2
2025/8/1, 75, 37, 27, 10, 3, 4
2025/8/2, 77, 29, 48, 7, 3, 4
2025/8/3, 72, 24, 45, 9, 3, 4
2025/8/4, 72, 28, 55, 12, 3, 2
2025/8/5, 67, 22, 47, 7, 3, 
2025/8/6, 55, 24, 48, 10, 3, 2
2025/8/7, 59, 28, 55, 11, 4, 2
2025/8/8, 63, 35, 43, 10, 2, 2
2025/8/9, 75, 37, 39, 10, 1, 3
2025/8/10, 75, 34, 48, 9, 1, 4
2025/8/11, 87, 29, 57, 11, 1, 4
2025/8/12, 68, 17, 31, 4, 2, 1
2025/8/13, 42, 17, 26, 3, 1, 1
2025/8/14, 33, 16, 31, 4, 2, 
2025/8/15, 28, 23, 31, 4, 2, 
2025/8/16, 41, 24, 34, 5, 2, 1
2025/8/17, 63, 13, 38, 6, 1, 1
